     9000	2020-08-23 11:48:13	1	0	4	0
     9000	2020-08-23 11:51:40	1	0	4	0
     9000	2020-08-23 11:52:08	1	0	4	0
     9000	2020-08-23 11:52:24	1	0	4	0
    34601	2020-08-23 12:02:05	1	0	15	0
    34601	2020-08-23 12:02:08	1	0	15	0
    34101	2020-08-23 12:02:31	1	0	15	0
    34101	2020-08-23 12:02:33	1	0	15	0
    34101	2020-08-23 12:02:50	1	0	15	0
    34601	2020-08-23 12:03:12	1	0	15	0
    34601	2020-08-23 12:03:14	1	0	15	0
    34601	2020-08-23 13:32:07	1	0	15	0
    34601	2020-08-23 13:32:13	1	0	15	0
    34601	2020-08-23 13:32:16	1	0	15	0
    34602	2020-08-23 13:32:30	1	0	15	0
    34602	2020-08-23 13:32:32	1	0	15	0
    34601	2020-08-23 13:32:45	1	0	15	0
    34601	2020-08-23 13:34:53	1	0	15	0
    34601	2020-08-23 13:34:55	1	0	15	0
    34601	2020-08-23 13:35:10	1	0	15	0
    34601	2020-08-23 13:51:39	1	0	15	0
    34601	2020-08-23 13:51:45	1	0	15	0
    34601	2020-08-23 13:51:46	1	0	15	0
    34602	2020-08-23 13:55:36	1	0	15	0
    34602	2020-08-23 13:55:38	1	0	15	0
    34601	2020-08-23 16:47:32	1	0	15	0
    34601	2020-08-23 17:04:18	1	0	15	0
     9010	2020-08-23 17:08:24	1	0	4	0
    34601	2020-08-23 17:12:29	1	0	15	0
    34601	2020-08-23 17:12:31	1	0	15	0
    34301	2020-08-23 17:12:39	1	0	15	0
    34401	2020-08-23 17:14:16	1	0	15	0
    34602	2020-08-23 17:15:17	1	0	15	0
    34101	2020-08-23 17:16:31	1	0	15	0
    34101	2020-08-23 17:17:03	1	0	15	0
    34101	2020-08-23 17:17:04	1	0	15	0
    34101	2020-08-23 17:17:12	1	0	15	0
    34101	2020-08-23 17:17:19	1	0	15	0
    34101	2020-08-23 17:17:21	1	0	15	0
    34601	2020-08-23 17:17:25	1	0	15	0
    34401	2020-08-23 17:19:39	1	0	15	0
    34501	2020-08-23 17:20:32	1	0	15	0
    34601	2020-08-23 17:22:26	1	0	15	0
    34601	2020-08-23 17:22:30	1	0	15	0
    34101	2020-08-23 17:23:28	1	0	15	0
    34601	2020-08-23 17:26:00	1	0	15	0
    34601	2020-08-23 17:26:02	1	0	15	0
    34401	2020-08-23 17:27:50	1	0	15	0
    34401	2020-08-23 17:27:52	1	0	15	0
    34401	2020-08-23 17:27:58	1	0	15	0
    34501	2020-08-23 17:28:12	1	0	15	0
    34601	2020-08-23 17:37:18	1	0	15	0
    34601	2020-08-23 17:37:20	1	0	15	0
    34501	2020-08-23 17:37:33	1	0	15	0
    34501	2020-08-23 17:37:35	1	0	15	0
    34602	2020-08-24 08:12:47	1	0	15	0
    34602	2020-08-24 08:12:51	1	0	15	0
    34301	2020-08-24 08:19:09	1	0	15	0
    34301	2020-08-24 08:19:11	1	0	15	0
    34101	2020-08-24 08:32:37	1	0	15	0
    34601	2020-08-24 08:45:12	1	0	15	0
